method_name,expected_operating_cost,best_cost_by_method,median_cost_by_method,risk_adjusted_cost,total_upgrade_cost,critical_load_served_fraction,noncritical_load_served_fraction,energy_not_served_kwh,critical_energy_not_served_kwh,max_fraction_customers_unserved_per_hour,total_hours_critical_infrastructure_unserved,feasibility_rate,median_runtime_seconds,time_to_good_solution,scenario_scaling_runtime,scenario_scaling_cost_degradation,variable_count_per_hamiltonian,term_count_per_hamiltonian,model_degree,scenario_count
SLSQPDispatchOptimizer,17769.96073937522,15319.151072029208,17852.00005627542,23358.957770849793,0.0,0.999998461242529,0.9417657779891933,2943.6881949321546,0.06879691019409892,0.19948459598105545,24,0.125,0.09983014618046582,0.06789354188367724,0.09983014618046582,0.0,132.0,821.5,3,8
CMPO-local polynomial search,21417.142363196202,15319.151072029208,22382.49141831939,27102.06162323836,0.0,0.9822802936409272,0.875595030510783,7048.2681991311165,961.5922822446169,0.3356643207453214,4,0.75,0.10338954185135663,0.10125029133632779,0.10338954185135663,0.034507793913744145,132.0,821.5,3,8
GreedyCriticalLoadFirst,21417.142363196202,15319.151072029208,22382.49141831939,27102.06162323836,0.0,0.9784396147934431,0.8629792865591415,7855.279929106906,1169.3461404134941,0.36716063443431507,8,0.875,0.0,0.0,0.0,0.034507793913744145,132.0,821.5,3,8
