dataset,method_name,payload_name,scenario,patch,sample_count,repeat_count,expected_operating_cost_best,expected_operating_cost_median,expected_operating_cost_mean,expected_operating_cost_std,risk_adjusted_cost_best,risk_adjusted_cost_median,risk_adjusted_cost_mean,risk_adjusted_cost_std,runtime_seconds_median,runtime_seconds_mean,runtime_seconds_std,feasibility_rate,feasibility_after_repair_rate,critical_load_served_fraction_best,critical_load_served_fraction_median,critical_energy_not_served_best,energy_not_served_kwh_best,total_energy_not_served_best,max_fraction_customers_unserved_per_hour_best,total_critical_infrastructure_unserved_hours_proxy_best,pre_repair_violation_rate,post_repair_violation_rate,pre_repair_violation_median,post_repair_violation_median,decoded_objective_best,runtime_seconds_total,time_to_good_solution
qci_small_synthetic,CMPO-local polynomial search,combined_high_stress_MG1-MG2-MG3.json,combined_high_stress,MG1-MG2-MG3,2,2,16915.457694558812,16915.457694558812,16915.457694558812,0.0,17221.161177936185,17221.161177936185,17221.161177936185,0.0,0.26226993749151006,0.26226993749151006,0.00022918748436495662,1.0,1.0,0.8197331302785233,0.8197331302785233,1222.8139335094938,5955.712336523494,5955.712336523494,0.4516550206357461,4.0,0.0,0.0,0.0,0.0,10495645.039505068,0.5245398749830201,0.2620407500071451
qci_small_synthetic,CMPO-local polynomial search,demand_surge_MG1-MG2-MG3.json,demand_surge,MG1-MG2-MG3,2,2,22739.677040168644,22739.677040168644,22739.677040168644,0.0,22739.677040168644,22739.677040168644,22739.677040168644,0.0,0.35337747901212424,0.35337747901212424,0.04805827105883509,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22725.277040168363,0.7067549580242485,0.30531920795328915
qci_small_synthetic,CMPO-local polynomial search,local_generator_failure_MG1-MG2-MG3.json,local_generator_failure,MG1-MG2-MG3,2,2,15242.71417926372,15242.71417926372,15242.71417926372,0.0,15242.71417926372,15242.71417926372,15242.71417926372,0.0,0.30386868747882545,0.30386868747882545,0.0008624375332146883,1.0,1.0,1.0,1.0,0.0,46.66362000000004,46.66362000000004,0.004431780450802132,0.0,0.0,0.0,0.0,0.0,18141.210485775442,0.6077373749576509,0.30300624994561076
qci_small_synthetic,CMPO-local polynomial search,normal_MG1-MG2-MG3.json,normal,MG1-MG2-MG3,2,2,21634.895912795357,21634.895912795357,21634.895912795357,0.0,21634.895912795357,21634.895912795357,21634.895912795357,0.0,0.31449693749891594,0.31449693749891594,0.0002723545185290277,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21620.495912795774,0.6289938749978319,0.3142245829803869
qci_small_synthetic,CMPO-local polynomial search,pcc_failure_MG1-MG2-MG3.json,pcc_failure,MG1-MG2-MG3,2,2,22440.512233424328,22440.512233424328,22440.512233424328,0.0,22440.512233424328,22440.512233424328,22440.512233424328,0.0,0.2952171874931082,0.2952171874931082,0.0031745624728500843,1.0,1.0,1.0,1.0,0.0,74.15860433507169,74.15860433507169,0.006975982759955662,0.0,0.0,0.0,0.0,0.0,42225.27255628079,0.5904343749862164,0.29204262502025813
qci_small_synthetic,CMPO-local polynomial search,renewable_shortfall_MG1-MG2-MG3.json,renewable_shortfall,MG1-MG2-MG3,2,2,22665.152635604645,22665.152635604645,22665.152635604645,0.0,22665.152635604645,22665.152635604645,22665.152635604645,0.0,0.332998417026829,0.332998417026829,0.02058549999492243,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22650.75263560349,0.665996834053658,0.31241291703190655
qci_small_synthetic,CMPO-local polynomial search,restoration_MG1-MG2-MG3.json,restoration,MG1-MG2-MG3,2,2,22408.963534706505,22408.963534706505,22408.963534706505,0.0,22408.963534706505,22408.963534706505,22408.963534706505,0.0,0.2763456459506415,0.2763456459506415,0.0012118539889343083,1.0,1.0,1.0,1.0,0.0,18.70444276742319,18.70444276742319,0.0018692216487694053,0.0,0.0,0.0,0.0,0.0,22869.441727300695,0.552691291901283,0.2751337919617072
qci_small_synthetic,CMPO-local polynomial search,storm_forced_islanding_MG1-MG2-MG3.json,storm_forced_islanding,MG1-MG2-MG3,2,2,22356.01930193228,22356.01930193228,22356.01930193228,0.0,22357.626484207278,22357.626484207278,22357.626484207278,0.0,0.26078506250632927,0.26078506250632927,0.0013665625010617077,1.0,1.0,0.9989538604180611,0.9989538604180611,6.428729099999941,2937.1260192909162,2937.1260192909162,0.24585198731974098,4.0,0.0,0.0,0.0,0.0,1739484.7606913624,0.5215701250126585,0.25941850000526756
qci_small_synthetic,DifferentialEvolutionOptimizer,combined_high_stress_MG1-MG2-MG3.json,combined_high_stress,MG1-MG2-MG3,2,2,9634.588449464387,10756.216328768805,10756.216328768805,1121.6278793044175,10260.63443971758,11433.693177046105,11433.693177046105,1173.0587373285243,0.0327911464846693,0.0327911464846693,0.000369187502656132,1.0,1.0,0.6308339384366402,0.6005062507025404,2504.183961012769,7253.469862808764,7253.469862808764,0.550071241768534,4.0,0.0,0.0,0.0,0.0,30879093.093140725,0.0655822929693386,0.032421958982013166
qci_small_synthetic,DifferentialEvolutionOptimizer,demand_surge_MG1-MG2-MG3.json,demand_surge,MG1-MG2-MG3,2,2,9594.670034733152,10115.539176414804,10115.539176414804,520.8691416816528,10076.334821053775,10563.428229942896,10563.428229942896,487.09340888912175,0.03890333301387727,0.03890333301387727,0.000306583009660244,1.0,1.0,0.7397365765356884,0.7185090829815428,1656.4532829422456,4471.198520383085,4471.198520383085,0.36138658696777415,4.0,0.0,0.0,0.0,0.0,24267692.66150057,0.07780666602775455,0.03859675000421703
