benchmark,method,system_repeat_count,derived_headline_candidate_count,budget_basis,runtime_accounting_basis,end_to_end_runtime_seconds_mean,end_to_end_runtime_seconds_total,wall_clock_runtime_seconds_mean,patch_runtime_seconds_mean,consensus_runtime_seconds_mean,time_to_good_solution_mean,consensus_iterations_mean,wall_clock_budget_seconds_per_patch,runtime_seconds_ci_low,runtime_seconds_ci_high,runtime_seconds_ci_method,trace_source
pglib_case14_ieee,greedy resilience heuristic,1,0,one deterministic solve; common per-patch wall-clock cap,single deterministic solve; measured runtime counted once,0.0501724600326269,0.0501724600326269,0.0501724600326269,0.0013981270603835,0.0334822500590235,0.0501724600326269,1.0,30.0,0.0501724600326269,0.0501724600326269,degenerate_single_repeat,baseline_system_metrics.csv
pglib_case14_ieee,piecewise-linear MILP,1,0,one deterministic solve; common per-patch wall-clock cap,single deterministic solve; measured runtime counted once,0.1384926245082169,0.1384926245082169,0.1384926245082169,0.1099367078859359,0.0140639587771147,0.1384926245082169,1.0,30.0,0.1384926245082169,0.1384926245082169,degenerate_single_repeat,baseline_system_metrics.csv
pglib_case30_ieee,CMPO-local polynomial search,50,0,50 matched stochastic repeats; common per-patch wall-clock cap,independent stochastic repeats; measured runtimes summed,1.6804315835004673,84.02157917502336,1.6804315835004673,1.6379024159861728,0.024338448336347893,1.6804315835004673,1.0,30.0,1.6765702718112152,1.6843586157000392,deterministic_bootstrap_mean_95,baseline_system_metrics.csv
pglib_case30_ieee,IPOPT/Pyomo nonlinear,1,0,one deterministic solve; common per-patch wall-clock cap,single deterministic solve; measured runtime counted once,0.3499435391277075,0.3499435391277075,0.3499435391277075,0.3054582471959293,0.021955250063911,0.3499435391277075,1.0,30.0,0.3499435391277075,0.3499435391277075,degenerate_single_repeat,baseline_system_metrics.csv
pglib_case30_ieee,QCi SC-CMPO,30,1,30 completed Dirac-3 samples per payload,batched QCi samples share the same device jobs; shared end-to-end runtime counted once,1990.1276138305818,1990.1276138305818,1990.1276138305818,1990.0,0.10877826252641774,1990.1276138305818,28.9,,1990.1223194817333,1990.1331226746076,deterministic_bootstrap_mean_95,qci_system_metrics.csv
pglib_case30_ieee,QUBO/quadratized search,50,0,50 matched stochastic repeats; common per-patch wall-clock cap,independent stochastic repeats; measured runtimes summed,0.28619880103040485,14.309940051520243,0.28619880103040485,0.24265839589759708,0.02534046669490631,0.28619880103040485,1.0,30.0,0.2843968005909119,0.288213232466951,deterministic_bootstrap_mean_95,baseline_system_metrics.csv
pglib_case30_ieee,SLSQP,1,0,one deterministic solve; common per-patch wall-clock cap,single deterministic solve; measured runtime counted once,0.565469624241814,0.565469624241814,0.565469624241814,0.4510949151590466,0.0935828750953078,0.565469624241814,21.0,30.0,0.565469624241814,0.565469624241814,degenerate_single_repeat,baseline_system_metrics.csv
pglib_case30_ieee,differential evolution,50,0,50 matched stochastic repeats; common per-patch wall-clock cap,independent stochastic repeats; measured runtimes summed,0.25859256071038544,12.929628035519272,0.25859256071038544,0.21157086576335132,0.028767771674320056,0.25859256071038544,1.0,30.0,0.25589968567190224,0.2614603824296501,deterministic_bootstrap_mean_95,baseline_system_metrics.csv
pglib_case30_ieee,greedy resilience heuristic,1,0,one deterministic solve; common per-patch wall-clock cap,single deterministic solve; measured runtime counted once,0.0570034577976912,0.0570034577976912,0.0570034577976912,0.0022711660712957,0.0232547498308122,0.0570034577976912,1.0,30.0,0.0570034577976912,0.0570034577976912,degenerate_single_repeat,baseline_system_metrics.csv
pglib_case30_ieee,piecewise-linear MILP,1,0,one deterministic solve; common per-patch wall-clock cap,single deterministic solve; measured runtime counted once,0.233205460011959,0.233205460011959,0.233205460011959,0.1716575021855533,0.0439052497968077,0.233205460011959,1.0,30.0,0.233205460011959,0.233205460011959,degenerate_single_repeat,baseline_system_metrics.csv
