coefficient_scaling_factor,continuous_variable_count,degree,horizon,integer_variable_count,max_abs_coefficient,patch,patch_ids,penalty_weights,scenario,term_count,variable_count
5.039788362062697e-07,44,3,4,0,1984210.3043999998,MG1,['MG1'],"{'critical_shed': 10000.0, 'noncritical_shed': 700.0, 'battery_degradation': 0.015, 'import_cost': 0.18, 'export_credit': 0.06, 'rho_balance': 4.0, 'rho_soc': 1.5, 'rho_mode': 25.0, 'kappa_mode': 1.2, 'pcc_failure': 2500.0, 'generator_unavailable': 2500.0}",normal,272,44
4.182756619401513e-07,44,3,4,0,2390767.83803664,MG1,['MG1'],"{'critical_shed': 10000.0, 'noncritical_shed': 700.0, 'battery_degradation': 0.015, 'import_cost': 0.18, 'export_credit': 0.06, 'rho_balance': 4.0, 'rho_soc': 1.5, 'rho_mode': 25.0, 'kappa_mode': 1.2, 'pcc_failure': 2500.0, 'generator_unavailable': 2500.0}",renewable_shortfall,272,44
