method,budget_id,budget,portfolio_rank,portfolio_signature,selected_asset_count,selected_asset_keys,total_upgrade_cost,reconstructed_upgrade_cost,budget_utilization,feasibility,native_master_energy,master_runtime_seconds,master_backend,recourse_evaluator,trace_path,system_trace_id,heldout_critical_ens,heldout_total_ens,heldout_critical_load_served_fraction,heldout_max_fraction_customers_unserved_per_hour,heldout_critical_infrastructure_outage_hours,heldout_contingency_count
QCi global budget master V2,minimum_feasible_islanding,2032032.0,1,dc9a6950e48e0da4f02b,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2032032.0,2032032.0,1.0,True,-75.7527237,5664.027121500112,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/minimum_feasible_islanding__6cf4a5dde4__rank_01__dc9a6950e48e0da4f02b.json,system-4061b06420ea53395810,135.0,773.0,0.927027027027027,0.4512893982808023,30.0,10
QCi global budget master V2,low_cost_catalog_step,2114027.8922130284,1,d110be868f056d3c30f6,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2052527.8562840382,2052527.8562840382,0.970908597679565,True,-1.1732833,387.6376383751631,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/low_cost_catalog_step__6cf4a5dde4__rank_01__d110be868f056d3c30f6.json,system-9670686553210e5b122c,135.0,773.0,0.927027027027027,0.4512893982808023,30.0,10
QCi global budget master V2,low_cost_catalog_step,2114027.8922130284,2,d4725636623692cf7f84,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::bess"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2111754.9844260574,2111754.9844260574,0.9989248449392067,True,-2.5185509,751.0,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/low_cost_catalog_step__6cf4a5dde4__rank_02__d4725636623692cf7f84.json,system-55e2b3c0e8bed977e447,195.0,833.0,0.8945945945945946,0.4684813753581662,50.0,10
QCi global budget master V2,low_cost_catalog_step,2114027.8922130284,3,8ca6e87851894128b3b6,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2098643.532923124,2098643.532923124,0.9927227264377294,True,-6.7904267,751.0,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/low_cost_catalog_step__6cf4a5dde4__rank_03__8ca6e87851894128b3b6.json,system-7340b7b073b8a58bcdc0,135.0,773.0,0.927027027027027,0.4512893982808023,30.0,10
QCi global budget master V2,low_cost_catalog_step,2114027.8922130284,4,a4ce8bceba3cdbf9a0f2,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::pv""]",2098643.532923124,2098643.532923124,0.9927227264377294,True,-4.8467331,999.8209022919182,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/low_cost_catalog_step__6cf4a5dde4__rank_04__a4ce8bceba3cdbf9a0f2.json,system-47d848d124c5e7cdb187,135.0,773.0,0.927027027027027,0.4512893982808023,30.0,10
QCi global budget master V2,low_cost_catalog_step,2114027.8922130284,5,5017c70c007df9632af2,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::pv"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2098643.532923124,2098643.532923124,0.9927227264377294,True,-1.2104018,387.6376383751631,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/low_cost_catalog_step__6cf4a5dde4__rank_05__5017c70c007df9632af2.json,system-bc790b5b9ab260a99ab9,135.0,773.0,0.927027027027027,0.4512893982808023,30.0,10
QCi global budget master V2,low_cost_catalog_step,2114027.8922130284,6,ae9e49ee85fd2c336211,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::pv""]",2098643.532923124,2098643.532923124,0.9927227264377294,True,-1.0845389,751.0,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/low_cost_catalog_step__6cf4a5dde4__rank_06__ae9e49ee85fd2c336211.json,system-1dba1a9be6d7a11cf3a0,135.0,773.0,0.927027027027027,0.4512893982808023,30.0,10
QCi global budget master V2,low_cost_catalog_step,2114027.8922130284,7,7cfc6dd50b8c5c6373ae,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::pv""]",2103767.4969941336,2103767.4969941336,0.99514651852197,True,-4.5929575,999.8209022919182,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/low_cost_catalog_step__6cf4a5dde4__rank_07__7cfc6dd50b8c5c6373ae.json,system-08f1b3a4357b9df67858,135.0,773.0,0.927027027027027,0.4512893982808023,30.0,10
QCi global budget master V2,low_cost_catalog_step,2114027.8922130284,8,2b804032dfd7ec70fab5,11,"[""ieee123_opendss::100::pv"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2103767.4969941336,2103767.4969941336,0.99514651852197,True,-3.6296742,387.6376383751631,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/low_cost_catalog_step__6cf4a5dde4__rank_08__2b804032dfd7ec70fab5.json,system-0803876579744087445e,135.0,773.0,0.927027027027027,0.4512893982808023,30.0,10
QCi global budget master V2,low_cost_catalog_step,2114027.8922130284,9,111b7fda7f0eebca7ac2,11,"[""ieee123_opendss::100::pv"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2103767.4969941336,2103767.4969941336,0.99514651852197,True,-1.1926291,751.0,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/low_cost_catalog_step__6cf4a5dde4__rank_09__111b7fda7f0eebca7ac2.json,system-ee3d26797e686a89c386,135.0,773.0,0.927027027027027,0.4512893982808023,30.0,10
