dataset,method_name,payload_name,scenario,patch,sample_count,repeat_count,expected_operating_cost_best,expected_operating_cost_median,expected_operating_cost_mean,expected_operating_cost_std,risk_adjusted_cost_best,risk_adjusted_cost_median,risk_adjusted_cost_mean,risk_adjusted_cost_std,runtime_seconds_median,runtime_seconds_mean,runtime_seconds_std,feasibility_rate,feasibility_after_repair_rate,critical_load_served_fraction_best,critical_load_served_fraction_median,critical_energy_not_served_best,energy_not_served_kwh_best,total_energy_not_served_best,max_fraction_customers_unserved_per_hour_best,total_critical_infrastructure_unserved_hours_proxy_best,pre_repair_violation_rate,post_repair_violation_rate,pre_repair_violation_median,post_repair_violation_median,decoded_objective_best,runtime_seconds_total,time_to_good_solution
synthetic_smoke,CMPO-local polynomial search,normal_MG1.json,normal,MG1,2,2,7090.833653854403,7091.423290761025,7091.423290761025,0.5896369066222178,7090.833653854403,7091.423290761025,7091.423290761025,0.5896369066222178,0.011735354026313871,0.011735354026313871,0.0001648540492169559,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7084.458773402502,0.023470708052627742,0.011570499977096915
synthetic_smoke,CMPO-local polynomial search,renewable_shortfall_MG1.json,renewable_shortfall,MG1,2,2,7461.532369994087,7461.532369994088,7461.532369994088,9.094947017729282e-13,7461.532369994087,7461.532369994088,7461.532369994088,9.094947017729282e-13,0.011697728943545371,0.011697728943545371,0.00013031199341639876,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7453.700178038865,0.023395457887090743,0.011567416950128973
synthetic_smoke,DifferentialEvolutionOptimizer,normal_MG1.json,normal,MG1,2,2,1827.461354446618,2623.8701849654854,2623.8701849654854,796.4088305188671,1904.5240377794375,2681.561651076734,2681.561651076734,777.0376132972963,0.005515708529856056,0.005515708529856056,0.0002893334603868425,1.0,1.0,0.8947283174209232,0.8415125714483316,153.28099555871026,745.214229053927,745.214229053927,0.07360618156199637,4.0,0.0,0.0,0.0,0.0,3246961.061287662,0.011031417059712112,0.0052263750694692135
synthetic_smoke,DifferentialEvolutionOptimizer,renewable_shortfall_MG1.json,renewable_shortfall,MG1,2,2,1530.5585862749836,2303.262352265394,2303.262352265394,772.7037659904104,1565.539500173082,2337.9388301314048,2337.9388301314048,772.3993299583229,0.005064916564151645,0.005064916564151645,7.61664705350995e-05,1.0,1.0,0.9074261334878071,0.9066061990558602,137.48816733569464,788.659441120049,788.659441120049,0.07636994622859498,4.0,0.0,0.0,0.0,0.0,3670843.8453945625,0.01012983312830329,0.004988750093616545
synthetic_smoke,GPU-parallel random restart baseline,normal_MG1.json,normal,MG1,2,2,7092.012927667647,7092.012927667647,7092.012927667647,0.0,7092.012927667647,7092.012927667647,7092.012927667647,0.0,0.46173604152863845,0.46173604152863845,0.36510504147736356,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7087.2129276676615,0.9234720830572769,0.0966310000512749
synthetic_smoke,GPU-parallel random restart baseline,renewable_shortfall_MG1.json,renewable_shortfall,MG1,2,2,7461.532369994089,7461.532369994089,7461.532369994089,0.0,7461.532369994089,7461.532369994089,7461.532369994089,0.0,0.09457860450493172,0.09457860450493172,3.4437456633895636e-05,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7456.732369992952,0.18915720900986344,0.09454416704829782
synthetic_smoke,GreedyCriticalLoadFirst,normal_MG1.json,normal,MG1,2,2,7092.012927667647,7092.012927667647,7092.012927667647,0.0,7092.012927667647,7092.012927667647,7092.012927667647,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7087.2129276676615,0.0,0.0
synthetic_smoke,GreedyCriticalLoadFirst,renewable_shortfall_MG1.json,renewable_shortfall,MG1,2,2,7461.532369994089,7461.532369994089,7461.532369994089,0.0,7461.532369994089,7461.532369994089,7461.532369994089,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7456.732369992952,0.0,0.0
synthetic_smoke,IPOPT/Pyomo nonlinear baseline,normal_MG1.json,normal,MG1,2,2,6253.254016970484,6253.254016970484,6253.254016970484,0.0,6253.254016970484,6253.254016970484,6253.254016970484,0.0,0.009519541985355318,0.009519541985355318,5.7999975979328156e-05,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6588.000404776813,0.019039083970710635,0.00946154200937599
synthetic_smoke,IPOPT/Pyomo nonlinear baseline,renewable_shortfall_MG1.json,renewable_shortfall,MG1,2,2,6918.8229501672795,6918.8229501672795,6918.8229501672795,0.0,6918.8229501672795,6918.8229501672795,6918.8229501672795,0.0,0.009249083523172885,0.009249083523172885,8.216645801439881e-05,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6892.735511847111,0.01849816704634577,0.009166917065158486
