method_name,scenario,patch,raw_energy,repaired_energy,expected_cost_component,critical_load_served_fraction,noncritical_load_served_fraction,energy_not_served_kwh,critical_energy_not_served_kwh,feasibility_pass,runtime_seconds,repeats,notes,repeat,backend,dataset,payload,payload_name,qci_energy,decoded_objective,runtime,wall_clock_runtime_seconds,expected_operating_cost,risk_adjusted_cost,feasibility_after_repair,pre_repair_violation,post_repair_violation,pre_repair_violation_count,post_repair_violation_count,pre_repair_violation_magnitude,post_repair_violation_magnitude,time_to_good_solution,status,solver,breakpoints,piecewise_segments,piecewise_binary_variables,skip_reason,discrete_levels,binary_variable_count,auxiliary_variable_count,cubic_term_count,quadratized_term_count,variable_blowup,approximation_error,restart_count,gpu_backend,best_energy,median_energy,mean_energy,std_energy,reserve_fraction,stress_label,scenario_probability,scenario_total_load_kwh,total_upgrade_cost,max_fraction_customers_unserved_per_hour,total_hours_critical_infrastructure_unserved,total_critical_infrastructure_unserved_hours_proxy
SLSQPDispatchOptimizer,renewable_shortfall,MG1,6892.735511847111,6914.022950166906,6918.8229501672795,1.0,1.0,0.0,0.0,True,0.009240749990567565,1,SLSQP reported failure gracefully: Iteration limit reached,0,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/renewable_shortfall_MG1.json,renewable_shortfall_MG1.json,,6892.735511847111,0.009240749990567565,0.009240749990567565,6918.8229501672795,6918.8229501672795,True,False,False,0,0,0.0,0.0,0.009240749990567565,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
DifferentialEvolutionOptimizer,renewable_shortfall,MG1,3985502.745265185,1854877.3643795678,1530.5585862749836,0.9057862646239132,0.6860205337424774,788.659441120049,139.9236555923934,True,0.005141083034686744,1,Differential evolution ended without convergence: Maximum number of iterations has been exceeded.,0,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/renewable_shortfall_MG1.json,renewable_shortfall_MG1.json,,3985502.745265185,0.005141083034686744,0.005141083034686744,1530.5585862749836,1565.539500173082,True,False,False,0,0,0.0,0.0,0.005141083034686744,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.125,10326.82986,0.0,0.07636994622859498,4,4
CMPO-local polynomial search,renewable_shortfall,MG1,7453.700178038865,7456.732369993418,7461.532369994087,1.0,1.0,0.0,0.0,True,0.011567416950128973,2,"Pre-QCi polynomial search proxy; best energy from 2 repeats, median_energy=4821088.343771.",0,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/renewable_shortfall_MG1.json,renewable_shortfall_MG1.json,,7453.700178038865,0.011567416950128973,0.011567416950128973,7461.532369994087,7461.532369994087,True,False,False,0,0,0.0,0.0,0.011567416950128973,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
Piecewise-linear MILP baseline,renewable_shortfall,MG1,481.82693336439735,481.82693336439553,486.6269333652868,1.0,1.0,0.0,0.0,True,0.009530707960948348,1,Pyomo piecewise-linear generator cost solved with appsi_highs; breakpoints=5.,0,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/renewable_shortfall_MG1.json,renewable_shortfall_MG1.json,,481.82693336439735,0.009530707960948348,0.009530707960948348,486.6269333652868,486.6269333652868,True,False,False,0,0,0.0,0.0,0.009530707960948348,COMPLETED,appsi_highs,5.0,4.0,16.0,,,,,,,,,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
QUBO/quadratized local search baseline,renewable_shortfall,MG1,59005.2416301864,7458.921358993929,7463.721358994089,1.0,1.0,0.0,0.0,True,0.14285108400508761,1,"Low-resolution discretized polynomial search with cubic quadratization accounting; binary_variables=88, auxiliary_variables=16, approximation_error=51548.509260.",0,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/renewable_shortfall_MG1.json,renewable_shortfall_MG1.json,,59005.2416301864,0.14285108400508761,0.14285108400508761,7463.721358994089,7463.721358994089,True,False,False,0,0,0.0,0.0,0.14285108400508761,COMPLETED,,,,,,4.0,88.0,16.0,16.0,288.0,2.3636363636363638,51548.509260193445,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
GPU-parallel random restart baseline,renewable_shortfall,MG1,7456.732369992952,7456.732369992952,7461.532369994089,1.0,1.0,0.0,0.0,True,0.09461304196156561,16,"GPU/CPU random restart baseline using numpy_cpu_fallback; restarts=16, median_energy=7883555.561946, std_energy=2991000.775312.",0,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/renewable_shortfall_MG1.json,renewable_shortfall_MG1.json,,7456.732369992952,0.09461304196156561,0.09461304196156561,7461.532369994089,7461.532369994089,True,False,False,0,0,0.0,0.0,0.09461304196156561,COMPLETED,,,,,,,,,,,,,16.0,numpy_cpu_fallback,7456.732369992952,7883555.561946426,6874909.315741876,2991000.7753118975,,,0.125,10326.82986,0.0,0.0,0,0
IPOPT/Pyomo nonlinear baseline,renewable_shortfall,MG1,6892.735511847111,6914.022950166906,6918.8229501672795,1.0,1.0,0.0,0.0,True,0.009331249981187284,1,IPOPT/cyipopt unavailable; used SciPy SLSQP fallback with same repair and metrics.,0,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/renewable_shortfall_MG1.json,renewable_shortfall_MG1.json,,6892.735511847111,0.009331249981187284,0.009331249981187284,6918.8229501672795,6918.8229501672795,True,False,False,0,0,0.0,0.0,0.009331249981187284,COMPLETED,scipy_slsqp_fallback,,,,IPOPT/cyipopt not available.,,,,,,,,,,,,,,,,0.125,10326.82986,0.0,0.0,0,0
Stress-only reserve heuristic baseline,renewable_shortfall,MG1,651250.1819966277,651250.1819966277,7361.255996628802,1.0,0.5548057513746611,919.8481800000002,0.0,True,3.450002986937761e-05,1,Reserve-prioritized outage heuristic; reserve_fraction=0.35.,0,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/renewable_shortfall_MG1.json,renewable_shortfall_MG1.json,,651250.1819966277,3.450002986937761e-05,3.450002986937761e-05,7361.255996628802,7361.255996628802,True,False,False,0,0,0.0,0.0,3.450002986937761e-05,COMPLETED,,,,,,,,,,,,,,,,,,,0.35,medium,0.125,10326.82986,0.0,0.08907362593073652,0,0
GreedyCriticalLoadFirst,normal,MG1,7087.2129276676615,7087.2129276676615,7092.012927667647,1.0,1.0,0.0,0.0,True,0.0,1,Deterministic critical-load-first heuristic.,1,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/normal_MG1.json,normal_MG1.json,,7087.2129276676615,0.0,0.0,7092.012927667647,7092.012927667647,True,False,False,0,0,0.0,0.0,0.0,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
SLSQPDispatchOptimizer,normal,MG1,6588.000404776813,6248.454016970235,6253.254016970484,1.0,1.0,0.0,0.0,True,0.00930583302397281,1,SLSQP reported failure gracefully: Iteration limit reached,1,classical,synthetic_smoke,results/phase3/phase3_smoke/qci_payloads/normal_MG1.json,normal_MG1.json,,6588.000404776813,0.00930583302397281,0.00930583302397281,6253.254016970484,6253.254016970484,True,False,False,0,0,0.0,0.0,0.00930583302397281,COMPLETED,,,,,,,,,,,,,,,,,,,,,0.375,10124.343,0.0,0.0,0,0
