original_path,compressed_path,compression,original_size_bytes,compressed_size_bytes,original_sha256,compressed_sha256
consensus_manifest.json,consensus_manifest.json.gz,gzip-9,137612787,5319985,215cc2e229e753638c65009d2035f42c0aad933450b120b473fff8c55cc8cc8b,13a150d6b5459342279c0d76a8fa71debea009c167982733c8eb14931cb35585
consensus_values.csv,consensus_values.csv.gz,gzip-9,303760899,5591005,4c0fe4f0bf81eb6db2d7f7b06ea81402d8d2ed0af36846e74f44a8cb0cb0adba,0775a92969d52377c6ac43b4a9f050a65953d864f41f5215bbc5226a4da57f00
