budget,metric,qci_value,best_classical_value,outcome
2032032.0,total_ens,1986.3284204375,297.7082118840262,loss
2114027.8922130284,total_ens,1986.3284204375,297.65162125558163,loss
3097978.598769372,total_ens,1986.3284204375,297.7080611740683,loss
4532906.712497371,total_ens,1278.7810814947916,297.70808511335963,loss
5149457.112497372,total_ens,1004.7121758177082,297.7082349006966,loss
5602175.318543635,total_ens,900.1550358229166,297.70823271461586,loss
2032032.0,critical_ens,1596.3284204375,50.62500877953275,loss
2114027.8922130284,critical_ens,1596.3284204375,50.625,loss
3097978.598769372,critical_ens,1596.3284204375,50.62502755343888,loss
4532906.712497371,critical_ens,956.2810814947916,50.625,loss
5149457.112497372,critical_ens,742.2121758177083,50.625,loss
5602175.318543635,critical_ens,577.6550358229167,50.62500590070681,loss
2032032.0,maximum_customers_unserved_per_hour,0.6294185065902579,0.1762177650429799,loss
2114027.8922130284,maximum_customers_unserved_per_hour,0.6294185065902579,0.1762177650429799,loss
3097978.598769372,maximum_customers_unserved_per_hour,0.6294185065902579,0.1762177650429799,loss
4532906.712497371,maximum_customers_unserved_per_hour,0.4773750858882521,0.1762177650429799,loss
5149457.112497372,maximum_customers_unserved_per_hour,0.4272390762893983,0.1762177650429799,loss
5602175.318543635,maximum_customers_unserved_per_hour,0.3440560350167144,0.1762177650429799,loss
