dataset,formulation,completed_jobs,failed_jobs,sample_count,feasibility_rate,challenge_score_best,challenge_score_median,challenge_score_mean,challenge_score_std,challenge_score_variance,critical_energy_not_served_best,critical_energy_not_served_median,critical_load_served_fraction_best,critical_load_served_fraction_median,max_customers_unserved_best,max_customers_unserved_median,critical_infrastructure_outage_proxy_best,critical_infrastructure_outage_proxy_median,risk_adjusted_cost_best,risk_adjusted_cost_median,runtime_seconds_median,qci_energy_variance
pglib_case14_ieee,cmpo_v2,20,0,20,1.0,9.158149055781013,1216.7193554005275,1216.1029431292852,1206.3358307221463,1455246.136484091,0.0,131.6254606,1.0,0.7106952813235968,0.0,0.2638595864536554,0.0,3.0,137.2033553,194.821109254,15.0,4552772742.395105
pglib_case14_ieee,hybrid,20,0,20,1.0,1118.4034629754588,2065.2917532283677,1896.298107587434,613.1981246508564,376011.9400753271,19.13563677024414,202.47759498839406,0.9527337399330374,0.5372515296717858,0.050167414891034,0.38310709113145225,6.0,6.0,140.68095055443723,151.2779236635692,1.0020644374890253,165666007656.6312
pglib_case30_ieee,cmpo_v2,20,0,20,1.0,10.12809066079004,1269.7769319993201,1269.733336493307,1258.8205409958846,1584629.1544331717,0.0,135.40846299999998,1.0,0.634863695014384,0.0452295827904716,0.23713620103215413,0.0,3.0,138.85134450808812,170.6116370367145,15.0,681384433.9178588
pglib_case30_ieee,hybrid,20,0,20,1.0,1032.9554959922953,2453.6911879160907,1931.599992842555,645.5863093224698,416781.68278460763,7.70055750000001,256.5689102702441,0.9799359834014788,0.3081479414601803,0.0452295827904716,0.41346883896102055,6.0,6.0,124.91707822795168,140.84676536672833,1.0020616459660232,165654384493.04498
pglib_case5_pjm,cmpo_v2,20,0,20,1.0,1.0,2.8402564473327185,2.9293206510533905,1.2231902220118975,1.496194319225515,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1697.571835134106,1883.9110324769595,15.0,1059270089436.9818
pglib_case5_pjm,hybrid,20,0,20,1.0,5.060259135749656,10.000014848826822,362.3366964312582,710.1620220693652,504330.09758964955,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1896.4169700102832,2393.5193229950005,1.002134916605428,1266.8320734335964
ALL,cmpo_v2,60,0,60,1.0,1.0,10.747551542184336,829.5885334245486,1164.2398203338112,1355454.3592509048,0.0,0.0,1.0,1.0,0.0,0.0226147913952358,0.0,0.0,137.2033553,231.10461513667042,15.0,8552016030834.083
ALL,hybrid,60,0,60,1.0,5.060259135749656,1290.1531949927557,1396.7449322870827,983.6577029316663,967582.4765368022,0.0,48.72479563512208,1.0,0.8743835226951381,0.0,0.1073236083200259,0.0,6.0,124.91707822795168,168.28129427467994,1.0020681044552475,147252146076.29507
