scenario,patch,horizon,variable_count,term_count,degree,continuous_variable_count,integer_variable_count,max_abs_coefficient,coefficient_scaling_factor
normal,MG1,6,66,408,3,66,0,2117991.230224,4.721454865959192e-07
renewable_shortfall,MG1,6,66,408,3,66,0,2632066.11659821,3.7992966578379155e-07
demand_surge,MG1,6,66,408,3,66,0,3871480.7694380945,2.5829910040987744e-07
pcc_failure,MG1,6,66,420,3,66,0,2381913.48035601,4.1983053047356536e-07
local_generator_failure,MG1,6,66,408,3,66,0,2334096.939513026,4.2843122025970137e-07
storm_forced_islanding,MG1,6,66,420,3,66,0,3444896.0632993346,2.902845199463737e-07
restoration,MG1,6,66,414,3,66,0,2858543.2482952895,3.4982853612459996e-07
combined_high_stress,MG1,6,66,424,3,66,0,5451108.366778374,1.8344893051374137e-07
