dataset,scenario,patch,sample_count,job_count,feasibility_rate,critical_energy_not_served_best,critical_energy_not_served_median,critical_load_served_fraction_best,critical_load_served_fraction_median,max_customers_unserved_best,risk_adjusted_cost_best,risk_adjusted_cost_median,runtime_seconds_median,qci_energy_variance
pglib_case14_ieee,pcc_failure,BUS3_MG-BUS4_MG,10,10,1.0,19.13563677024414,49.67965677024414,0.9527337399330374,0.8772880356617557,0.05016741489103409,151.68033815218908,168.25771720809766,1.0021015834063292,299.77354194713337
pglib_case14_ieee,storm_forced_islanding,BUS3_MG-BUS4_MG,10,10,1.0,274.7573754301783,295.26234552499545,0.3961000794165912,0.35103140822100387,0.5010277425500416,140.68095055443723,145.3421544705758,1.0020594369852915,52536.8978125
pglib_case30_ieee,demand_surge,BUS5_MG-BUS7_MG,10,10,1.0,7.70055750000001,48.58451985000001,0.9799359834014789,0.8734116831539046,0.045229582790471616,134.6608307358062,168.28129427467994,1.0020617295522243,296.18330637408667
pglib_case30_ieee,storm_forced_islanding,BUS5_MG-BUS7_MG,10,10,1.0,254.8733977702441,268.6031201716099,0.3127199833812745,0.27569703817501406,0.41346883896102055,124.91707822795168,135.8163548860314,1.0020588958868757,437804.69144531246
pglib_case5_pjm,demand_surge,BUS3_MG-BUS4_MG,10,10,1.0,0.0,0.0,1.0,1.0,0.0,2577.079188430165,2710.1437384301653,1.0021997290896252,1000.4548224765242
pglib_case5_pjm,pcc_failure,BUS3_MG-BUS4_MG,10,10,1.0,0.0,0.0,1.0,1.0,0.0,1896.4169700102832,2209.9594575598358,1.0020917704096064,537.8451861896986
