method,budget_id,budget,portfolio_rank,portfolio_signature,selected_asset_count,selected_asset_keys,total_upgrade_cost,reconstructed_upgrade_cost,budget_utilization,feasibility,native_master_energy,master_runtime_seconds,master_backend,recourse_evaluator,trace_path,system_trace_id,critical_ens,total_ens,critical_load_served_fraction,max_fraction_customers_unserved_per_hour,critical_infrastructure_outage_hours,runtime_seconds,heldout_critical_ens,heldout_total_ens,heldout_critical_load_served_fraction
QCi global budget master V2,qci_selected_cost,5602175.318543635,1,8bb0c790688f3e794755,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2057651.8203550477,2057651.8203550477,0.3672951493581539,True,-8.3438435,5835.1017101251055,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/qci_selected_cost__6cf4a5dde4__rank_01__8bb0c790688f3e794755.json,system-05b3ac788f533c57e416,147.5,627.5,0.9202702702702703,0.20487106017191978,27.0,5835.128351750085,135.0,773.0,0.927027027027027
QCi global budget master V2,slsqp_selected_cost,4532906.712497371,1,6fa2fed52b07eebcf83b,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2124263.3532781717,2124263.3532781717,0.4686316061659748,True,-1.2100594,999.0240975001361,QCi Dirac-3 sample-hamiltonian,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/slsqp_selected_cost__6cf4a5dde4__rank_01__6fa2fed52b07eebcf83b.json,system-17117e87b3f5259a1654,180.0,652.5,0.9027027027027027,0.2793696275071633,34.0,999.0508792921901,135.0,773.0,0.927027027027027
QUBO/quadratized upgrade master,low_cost_catalog_step,2114027.8922130284,1,dc9a6950e48e0da4f02b,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2032032.0,2032032.0,0.9612134293426031,True,-1.0000637227011817,0.021821750095114112,binary simulated annealing over quadratized hard-constraint master,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/low_cost_catalog_step__a4bbc35054__rank_01__dc9a6950e48e0da4f02b.json,system-924f99c7590c97155a74,135.0,615.0,0.927027027027027,0.17621776504297995,24.0,0.049695375142619014,135.0,773.0,0.927027027027027
QUBO/quadratized upgrade master,minimum_feasible_islanding,2032032.0,1,dc9a6950e48e0da4f02b,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2032032.0,2032032.0,1.0,True,-1.3058808939180302,0.011033124988898635,binary simulated annealing over quadratized hard-constraint master,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/minimum_feasible_islanding__a4bbc35054__rank_01__dc9a6950e48e0da4f02b.json,system-924f99c7590c97155a74,135.0,615.0,0.927027027027027,0.17621776504297995,24.0,0.03826233302243054,135.0,773.0,0.927027027027027
QUBO/quadratized upgrade master,post_slsqp_catalog_step,5149457.112497372,1,0dbe9a36ad2fb69c944e,27,"[""ieee123_opendss::100::bess"", ""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::100::pv"", ""ieee123_opendss::113::bess"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::bess"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::bess"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::65::pv"", ""ieee123_opendss::69::bess"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::bess"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::73::pv"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::bess"", ""ieee123_opendss::87::dispatchable_generation"", ""ieee123_opendss::87::pv""]",5093469.67779901,5093469.67779901,0.9891275073322808,True,-1.0356310039867613,0.01999975019134581,binary simulated annealing over quadratized hard-constraint master,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/post_slsqp_catalog_step__a4bbc35054__rank_01__0dbe9a36ad2fb69c944e.json,system-616dc906f442cf061448,135.0,615.0,0.927027027027027,0.17621776504297995,24.0,0.048961875261738896,135.0,773.0,0.927027027027027
QUBO/quadratized upgrade master,pv_catalog_midpoint,3097978.598769372,1,5acd783c8e9b2d6dda9a,16,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::bess"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::bess"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::bess"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::bess"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::bess"", ""ieee123_opendss::87::bess"", ""ieee123_opendss::87::dispatchable_generation""]",3077514.2922130288,3077514.2922130288,0.9933943034453265,True,-1.1165279477923418,0.013936749892309308,binary simulated annealing over quadratized hard-constraint master,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/pv_catalog_midpoint__a4bbc35054__rank_01__5acd783c8e9b2d6dda9a.json,system-5dd12ee84e0c4cdcd3eb,388.125,868.125,0.7902027027027027,0.2922636103151863,49.0,0.042598458006978035,540.0,1178.0,0.7081081081081081
QUBO/quadratized upgrade master,qci_selected_cost,5602175.318543635,1,0244fc03097c70e0fae4,29,"[""ieee123_opendss::100::bess"", ""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::100::pv"", ""ieee123_opendss::113::bess"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::bess"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::bess"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::65::pv"", ""ieee123_opendss::69::bess"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::bess"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::bess"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::73::pv"", ""ieee123_opendss::76::bess"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::bess"", ""ieee123_opendss::87::dispatchable_generation"", ""ieee123_opendss::87::pv""]",5584783.27779901,5584783.27779901,0.9968954843867424,True,-1.0674132017223301,0.02056587510742247,binary simulated annealing over quadratized hard-constraint master,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/qci_selected_cost__a4bbc35054__rank_01__0244fc03097c70e0fae4.json,system-13fcc1cc00114df36629,135.0,615.0,0.927027027027027,0.17621776504297995,24.0,0.04984720819629729,135.0,773.0,0.927027027027027
QUBO/quadratized upgrade master,slsqp_selected_cost,4532906.712497371,1,b4e38df2e9e56bf7ee29,25,"[""ieee123_opendss::100::bess"", ""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::bess"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::113::pv"", ""ieee123_opendss::16::bess"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::16::pv"", ""ieee123_opendss::28::bess"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::28::pv"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::bess"", ""ieee123_opendss::69::bess"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::69::pv"", ""ieee123_opendss::6::bess"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::6::pv"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::73::pv"", ""ieee123_opendss::76::pv"", ""ieee123_opendss::87::bess"", ""ieee123_opendss::87::dispatchable_generation"", ""ieee123_opendss::87::pv""]",4520495.26642621,4520495.26642621,0.9972619233400629,True,-1.005611199544851,0.018994166050106287,binary simulated annealing over quadratized hard-constraint master,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/slsqp_selected_cost__a4bbc35054__rank_01__b4e38df2e9e56bf7ee29.json,system-1bfc69c24b6eb45c359c,306.25,741.25,0.8344594594594594,0.2664756446991404,36.0,0.0481154581066221,350.0,988.0,0.8108108108108109
SLSQP/IPOPT relaxation,low_cost_catalog_step,2114027.8922130284,1,dc9a6950e48e0da4f02b,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2032032.0,2032032.0,0.9612134293426031,True,-1.0000637227011817,0.018696124898269773,scipy.optimize.minimize(SLSQP) relaxation + hard-feasible projection,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/low_cost_catalog_step__3b703f40df__rank_01__dc9a6950e48e0da4f02b.json,system-d27a6e567c3fc7fba275,135.0,615.0,0.927027027027027,0.17621776504297995,24.0,0.0458984998986125,135.0,773.0,0.927027027027027
SLSQP/IPOPT relaxation,minimum_feasible_islanding,2032032.0,1,dc9a6950e48e0da4f02b,11,"[""ieee123_opendss::100::dispatchable_generation"", ""ieee123_opendss::113::dispatchable_generation"", ""ieee123_opendss::16::dispatchable_generation"", ""ieee123_opendss::28::dispatchable_generation"", ""ieee123_opendss::48::dispatchable_generation"", ""ieee123_opendss::65::dispatchable_generation"", ""ieee123_opendss::69::dispatchable_generation"", ""ieee123_opendss::6::dispatchable_generation"", ""ieee123_opendss::73::dispatchable_generation"", ""ieee123_opendss::76::dispatchable_generation"", ""ieee123_opendss::87::dispatchable_generation""]",2032032.0,2032032.0,1.0,True,-1.3058808939180302,0.004079125123098493,scipy.optimize.minimize(SLSQP) relaxation + hard-feasible projection,ieee123_global_master_shared_recourse_v2,results/phase3/sc_cmpo/budget_master_v2/system_traces/minimum_feasible_islanding__3b703f40df__rank_01__dc9a6950e48e0da4f02b.json,system-d27a6e567c3fc7fba275,135.0,615.0,0.927027027027027,0.17621776504297995,24.0,0.03143220813944936,135.0,773.0,0.927027027027027
