benchmark,converged,convergence_tolerance,dual_residual,final_status,iteration,iteration_count,maximum_iterations,method,primal_residual,raw_conflict_count,rho,unresolved_conflict_count
pglib_case14_ieee,True,1e-06,0.0,completed,1,1,200,coordinated first-stage NLP + full-system projection reference,0.0,0,1.0,0
pglib_case30_ieee,True,1e-06,0.0,completed,1,1,200,coordinated first-stage NLP + full-system projection reference,0.0,0,1.0,0
arpae_go_network_01o_020,True,1e-06,0.0,completed,1,1,200,differential evolution,0.0,0,1.0,0
ieee123_opendss,True,1e-06,0.0,completed,1,1,200,differential evolution,0.0,0,1.0,0
pglib_case14_ieee,True,1e-06,0.0,completed,1,1,200,differential evolution,0.0,0,1.0,0
pglib_case30_ieee,True,1e-06,0.0,completed,1,1,200,differential evolution,0.0,0,1.0,0
arpae_go_network_01o_020,True,1e-06,0.0,completed,1,1,200,greedy resilience heuristic,0.0,0,1.0,0
ieee123_opendss,True,1e-06,0.0,completed,1,1,200,greedy resilience heuristic,0.0,0,1.0,0
pglib_case14_ieee,True,1e-06,0.0,completed,1,1,200,greedy resilience heuristic,0.0,0,1.0,0
pglib_case30_ieee,True,1e-06,0.0,completed,1,1,200,greedy resilience heuristic,0.0,0,1.0,0
arpae_go_network_01o_020,True,1e-06,0.0,completed,1,1,200,piecewise-linear MILP,0.0,0,1.0,0
ieee123_opendss,True,1e-06,0.0,completed,1,1,200,piecewise-linear MILP,0.0,0,1.0,0
pglib_case14_ieee,True,1e-06,0.0,completed,1,1,200,piecewise-linear MILP,0.0,0,1.0,0
pglib_case30_ieee,True,1e-06,0.0,completed,1,1,200,piecewise-linear MILP,0.0,0,1.0,0
