dataset,method_name,payload_name,scenario,patch,sample_count,repeat_count,expected_operating_cost_best,expected_operating_cost_median,expected_operating_cost_mean,expected_operating_cost_std,risk_adjusted_cost_best,risk_adjusted_cost_median,risk_adjusted_cost_mean,risk_adjusted_cost_std,runtime_seconds_median,runtime_seconds_mean,runtime_seconds_std,feasibility_rate,feasibility_after_repair_rate,critical_load_served_fraction_best,critical_load_served_fraction_median,critical_energy_not_served_best,energy_not_served_kwh_best,total_energy_not_served_best,max_fraction_customers_unserved_per_hour_best,total_critical_infrastructure_unserved_hours_proxy_best,pre_repair_violation_rate,post_repair_violation_rate,pre_repair_violation_median,post_repair_violation_median,decoded_objective_best,runtime_seconds_total,time_to_good_solution
synthetic_smoke,Stress-only reserve heuristic baseline,normal_MG1.json,normal,MG1,2,2,7088.707197667648,7088.707197667648,7088.707197667648,0.0,7088.707197667648,7088.707197667648,7088.707197667648,0.0,1.9312486983835697e-05,1.9312486983835697e-05,2.2294698283076286e-06,1.0,1.0,1.0,1.0,0.0,220.38200000000006,220.38200000000006,0.021767535928010347,0.0,0.0,0.0,0.0,0.0,161351.3071976676,3.8624973967671394e-05,1.708301715552807e-05
synthetic_smoke,Stress-only reserve heuristic baseline,renewable_shortfall_MG1.json,renewable_shortfall,MG1,2,2,7361.255996628802,7361.255996628802,7361.255996628802,0.0,7361.255996628802,7361.255996628802,7361.255996628802,0.0,2.452055923640728e-05,2.452055923640728e-05,9.979470632970333e-06,1.0,1.0,1.0,1.0,0.0,919.8481800000002,919.8481800000002,0.08907362593073652,0.0,0.0,0.0,0.0,0.0,651250.1819966277,4.904111847281456e-05,1.4541088603436947e-05
