component,count,minimum_nonzero,maximum_nonzero,median_nonzero
coverage,88,2.0,2.0,2.0
interaction,35,1.4255784003569707,277.74755937454086,11.422395641768334
normalized_cost,33,0.0860225438955136,1.1319091750320545,0.21174037095182077
surrogate,34,0.8693848932127689,1654.5914152335074,58.06670038472183
__effective_submitted_polynomial__,190,0.5744215996430293,1676.5914152335074,unavailable
