lambda_index,cost_weight,method,upgrade_cost,critical_ens,total_ens,maximum_customers_unserved,critical_infrastructure_outage_hours,critical_load_served_fraction,heldout_critical_ens,heldout_total_ens,feasibility,projection_used,hamiltonian_regret,true_recourse_regret,trace
0,0.0,QCi IRC-CMPO,6917694.812532724,50.625,230.625,0.17621776504297995,1.125,0.9726351351351351,104.2500004124164,306.2500002274164,True,False,1.6508892559481878e-16,0.0,results/phase3/irc_cmpo/qci/validations/lambda_00.json
0,0.0,exact MILP ground state,3787914.8520828956,50.625,230.625,0.17621776504297995,1.125,,104.24999985020737,306.2499996652074,True,False,0.0,0.0,results/phase3/irc_cmpo/validation/exact_validation.json
0,0.0,gpu_simulated_annealing,4731688.0682368,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,104.24999921408416,306.24999902908417,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv
0,0.0,gpu_random_restart,4449453.832887772,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,115.2499993530088,317.2499991680088,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv
0,0.0,gpu_parallel_local_search,4427439.016733867,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,115.12500000812577,317.1249998231258,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv
1,1.2095947875386306,QCi IRC-CMPO,2032032.0,50.625,230.625,0.17621776504297995,1.125,0.9726351351351351,94.1249999983948,296.1249998133948,True,False,0.0,0.0,results/phase3/irc_cmpo/qci/validations/lambda_01.json
1,1.2095947875386306,exact MILP ground state,2032032.0,50.625,230.625,0.17621776504297995,1.125,,94.1249999983948,296.1249998133948,True,False,0.0,0.0,results/phase3/irc_cmpo/validation/exact_validation.json
1,1.2095947875386306,gpu_simulated_annealing,2211622.4,78.12499999999997,258.12500000000006,0.1972301814708691,1.875,0.9577702702702704,105.12499989059437,307.12499970559446,True,False,0.0099999999999997,0.881029683533582,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv
1,1.2095947875386306,gpu_random_restart,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv
1,1.2095947875386306,gpu_parallel_local_search,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv
2,2.419189575077261,QCi IRC-CMPO,2032032.0,50.625,230.625,0.17621776504297995,1.125,0.9726351351351351,94.1249999983948,296.1249998133948,True,False,0.0,0.0,results/phase3/irc_cmpo/qci/validations/lambda_02.json
2,2.419189575077261,exact MILP ground state,2032032.0,50.625,230.625,0.17621776504297995,1.125,,94.1249999983948,296.1249998133948,True,False,0.0,0.0,results/phase3/irc_cmpo/validation/exact_validation.json
2,2.419189575077261,gpu_simulated_annealing,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv
2,2.419189575077261,gpu_random_restart,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv
2,2.419189575077261,gpu_parallel_local_search,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv
3,4.838379150154522,QCi IRC-CMPO,2032032.0,50.625,230.625,0.17621776504297995,1.125,0.9726351351351351,94.1249999983948,296.1249998133948,True,False,1.701491225479167e-16,0.0,results/phase3/irc_cmpo/qci/validations/lambda_03.json
3,4.838379150154522,exact MILP ground state,2032032.0,50.625,230.625,0.17621776504297995,1.125,,94.1249999983948,296.1249998133948,True,False,0.0,0.0,results/phase3/irc_cmpo/validation/exact_validation.json
3,4.838379150154522,gpu_simulated_annealing,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv
3,4.838379150154522,gpu_random_restart,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv
3,4.838379150154522,gpu_parallel_local_search,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv
4,9.676758300309045,QCi IRC-CMPO,2032032.0,50.625,230.625,0.17621776504297995,1.125,0.9726351351351351,94.1249999983948,296.1249998133948,True,False,0.0,0.0,results/phase3/irc_cmpo/qci/validations/lambda_04.json
4,9.676758300309045,exact MILP ground state,2032032.0,50.625,230.625,0.17621776504297995,1.125,,94.1249999983948,296.1249998133948,True,False,0.0,0.0,results/phase3/irc_cmpo/validation/exact_validation.json
4,9.676758300309045,gpu_simulated_annealing,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv
4,9.676758300309045,gpu_random_restart,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv
4,9.676758300309045,gpu_parallel_local_search,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv
5,19.35351660061809,QCi IRC-CMPO,2032032.0,50.625,230.625,0.17621776504297995,1.125,0.9726351351351351,94.1249999983948,296.1249998133948,True,False,1.7146301538612454e-16,0.0,results/phase3/irc_cmpo/qci/validations/lambda_05.json
5,19.35351660061809,exact MILP ground state,2032032.0,50.625,230.625,0.17621776504297995,1.125,,94.1249999983948,296.1249998133948,True,False,0.0,0.0,results/phase3/irc_cmpo/validation/exact_validation.json
5,19.35351660061809,gpu_simulated_annealing,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv
5,19.35351660061809,gpu_random_restart,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv
5,19.35351660061809,gpu_parallel_local_search,2032032.0,50.625,230.625,0.1762177650429799,1.125,0.9726351351351352,94.1249998773654,296.12499969236546,True,False,0.0,0.0,results/phase3/irc_cmpo/baselines/gpu/gpu_baseline_metrics_with_recourse_regret.csv
