score_mode,dataset,method_name,challenge_score,challenge_rank,best_method_by_challenge_score,qci_minus_best_challenge_score,qci_outcome_by_challenge_score,critical_energy_not_served_kwh,total_hours_critical_infrastructure_unserved,max_fraction_customers_unserved_per_hour,total_energy_not_served,critical_load_served_fraction,feasibility_after_repair,risk_adjusted_cost,expected_operating_cost,runtime,weighted_challenge_score,weighted_challenge_rank,lexicographic_challenge_score,lexicographic_challenge_rank,best_cost_by_method,median_cost_by_method,total_upgrade_cost,energy_not_served_kwh,wall_clock_runtime_seconds,median_runtime_seconds,time_to_good_solution,repeat_count,samples_per_payload_median,payload_count,scenario_count,scenario_probability_mass,aggregation,normalized_critical_energy_not_served_kwh,normalized_total_hours_critical_infrastructure_unserved,normalized_max_fraction_customers_unserved_per_hour,normalized_total_energy_not_served,normalized_risk_adjusted_cost,normalized_runtime,infeasibility_penalty
lexicographic,pglib_case14_adapted,Piecewise-linear MILP baseline,0.0,1,Piecewise-linear MILP baseline,8.0,qci_loss,8.898007013586184,0.23076923076923078,0.4963719772348401,28.657087271527786,0.9841505167727838,1.0,123.71277896217097,95.35812571819055,0.03463493753224605,,,0.0,1.0,26.698629959604617,103.87638134970713,0.0,28.657087271527786,44.54801108827812,0.03922782299923705,0.03463493753224605,50,50.0,12,6,0.8125,median_per_payload_then_probability_weighted_scenario_mean,,,,,,,
lexicographic,pglib_case14_adapted,Stress-only reserve heuristic baseline,1.0,2,Piecewise-linear MILP baseline,8.0,qci_loss,8.898007013586184,0.23076923076923078,0.5728464227274819,255.14599849820164,0.9841505167727838,1.0,158.74446850520835,124.03586349884218,9.15419077500701e-05,,,1.0,2.0,39.88374398939284,103.40343391149307,0.0,255.14599849820164,0.093169225146981,9.754154598339586e-05,9.15419077500701e-05,50,50.0,12,6,0.8125,median_per_payload_then_probability_weighted_scenario_mean,,,,,,,
lexicographic,pglib_case14_adapted,GreedyCriticalLoadFirst,2.0,3,Piecewise-linear MILP baseline,8.0,qci_loss,8.909972121278493,0.23076923076923078,0.4963719772348401,29.25731265614317,0.9841292040481038,1.0,205.11522385570163,159.2229735932287,0.0,,,2.0,3.0,63.44669054077762,116.77188853451673,0.0,29.25731265614317,0.0,0.0,0.0,50,50.0,12,6,0.8125,median_per_payload_then_probability_weighted_scenario_mean,,,,,,,
lexicographic,pglib_case14_adapted,SLSQPDispatchOptimizer,3.0,4,Piecewise-linear MILP baseline,8.0,qci_loss,8.91698468324392,0.6923076923076923,0.5023641261340611,29.608500432814267,0.9841170445844025,1.0,202.0665102476179,156.39672204856723,0.142904728942085,,,3.0,4.0,49.339437140841504,115.94161131378743,0.0,29.608500432814267,356.28564753581304,0.3616755627444945,0.142904728942085,50,50.0,12,6,0.8125,median_per_payload_then_probability_weighted_scenario_mean,,,,,,,
lexicographic,pglib_case14_adapted,IPOPT/Pyomo nonlinear baseline,4.0,5,Piecewise-linear MILP baseline,8.0,qci_loss,8.91698468324392,0.6923076923076923,0.5023641261340611,29.608500432814267,0.9841170445844025,1.0,202.0665102476179,156.39672204856723,0.1570309579838067,,,4.0,5.0,49.339437140841504,115.94161131378743,0.0,29.608500432814267,360.85396441735793,0.35199544799979776,0.1570309579838067,50,50.0,12,6,0.8125,median_per_payload_then_probability_weighted_scenario_mean,,,,,,,
lexicographic,pglib_case14_adapted,QUBO/quadratized local search baseline,5.0,6,Piecewise-linear MILP baseline,8.0,qci_loss,10.013979585381055,0.23076923076923078,0.5223123427973868,30.754930075890318,0.982162702138373,1.0,205.75697097482112,159.63525974338376,4.128124249516986,,,5.0,6.0,64.51588949249289,109.14662758310189,0.0,30.754930075890318,4851.359765120782,4.862698187265778,4.128124249516986,50,50.0,12,6,0.8125,median_per_payload_then_probability_weighted_scenario_mean,,,,,,,
lexicographic,pglib_case14_adapted,CMPO-local polynomial search,6.0,7,Piecewise-linear MILP baseline,8.0,qci_loss,11.417844469335453,0.23076923076923078,0.5353801074384922,31.509372487909822,0.9796620822919806,1.0,204.28450176135152,158.39225149887858,1.0813303124741651,,,6.0,7.0,63.44669054077762,105.97250130796543,0.0,31.509372487909822,1265.0743493272457,1.2920417914865538,1.0813303124741651,50,50.0,12,6,0.8125,median_per_payload_then_probability_weighted_scenario_mean,,,,,,,
lexicographic,pglib_case14_adapted,GPU-parallel random restart baseline,7.0,8,Piecewise-linear MILP baseline,8.0,qci_loss,13.205951832726305,0.23076923076923078,0.5730281938239301,33.682912789607954,0.97647703449181,1.0,203.63167436162328,157.73942409915034,0.0035713749821297503,,,7.0,8.0,63.44669054077762,97.48574511149849,0.0,33.682912789607954,8.13035554706582,0.0038143229903652752,0.0035713749821297503,50,50.0,12,6,0.8125,median_per_payload_then_probability_weighted_scenario_mean,,,,,,,
lexicographic,pglib_case14_adapted,CMPO-V2 + QCi Dirac-3,8.0,9,Piecewise-linear MILP baseline,8.0,qci_loss,64.22387951769231,3.646153846153846,0.5277191729073109,140.95466256115384,0.4046387934747357,1.0,189.10288802458555,148.31181489981793,29.0,,,8.0,9.0,0.4693590000000001,138.02885473267045,0.0,140.95466256115384,344670.0,31.0,29.0,30,30.0,60,6,0.8125,median_per_payload_then_probability_weighted_scenario_mean,,,,,,,
lexicographic,pglib_case14_adapted,CMPO + QCi Dirac-3,9.0,10,Piecewise-linear MILP baseline,8.0,qci_loss,75.94319873076923,4.384615384615385,0.5277191729073109,179.79968548153846,0.36786112545921634,1.0,158.27389059163713,124.75079015439157,30.0,,,9.0,10.0,0.4693590000000001,129.96239716751808,0.0,179.79968548153846,346410.0,32.0,30.0,30,30.0,60,6,0.8125,median_per_payload_then_probability_weighted_scenario_mean,,,,,,,
