dataset,method_name,expected_operating_cost,best_cost_by_method,median_cost_by_method,risk_adjusted_cost,total_upgrade_cost,max_fraction_customers_unserved_per_hour,total_hours_critical_infrastructure_unserved,critical_load_served_fraction,critical_energy_not_served_kwh,energy_not_served_kwh,feasibility_after_repair,wall_clock_runtime_seconds,median_runtime_seconds,time_to_good_solution,repeat_count,scenario_count,pareto_frontier
pglib_case14_adapted,Piecewise-linear MILP baseline,15495.695429205964,26.698629959604617,103.87638134970713,15539.826603967178,0.0,0.4963719772348401,600,0.9656594530076984,23134.81823532408,74508.42690597224,1.0,89.09602217655623,0.0411088124965317,0.02108729199972,50,6,True
pglib_case30_adapted,Piecewise-linear MILP baseline,13066.972876584574,5.442361048284731,23.388992389517377,13101.35406285934,0.0,0.4057130158440541,600,0.9693153552389716,23933.69323532408,63459.87359064816,1.0,95.12878305022596,0.04628975049126885,0.0161597919650375,50,6,True
pglib_case57_adapted,Piecewise-linear MILP baseline,3213.448078083251,315.41492645241465,405.1183524858485,3344.140884213072,0.0,0.0,0,1.0,0.0,0.0,1.0,1.1255503322463465,0.02338552050059655,0.0213422080269083,3,4,True
pglib_case5_pjm_adapted,CMPO + QCi Dirac-3,69379.66774930945,165.42597054005836,748.709987412492,69918.35992020355,0.0,0.2777440685052399,1638,0.7461045931441351,137737.62161893514,371485.7146959015,1.0,6000.0,15.0,15.0,50,4,True
pglib_case5_pjm_adapted,Piecewise-linear MILP baseline,77465.55368647078,383.2663132038759,582.1347282927577,77693.47742376219,0.0,0.0039040558362543,0,1.0,0.0,3457.556747141201,1.0,24.645291309338027,0.02892972895642735,0.0208893329836428,50,4,True
qci_small_synthetic,Piecewise-linear MILP baseline,10869.088110334384,1084.7994303330013,4958.486526305704,16458.092935817454,0.0,0.4204530732871973,8,0.9895045697645307,1139.1074444184121,17148.518904374083,1.0,0.30231087200809204,0.01640941703226415,0.0153801250271499,2,8,True
synthetic_smoke,Piecewise-linear MILP baseline,386.7888740652868,353.5095209652868,420.06822716528677,508.4456074066085,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0393033759901298,0.0096139379893429,0.0095307079609483,2,2,True
