dataset,method_name,expected_operating_cost,best_cost_by_method,median_cost_by_method,risk_adjusted_cost,total_upgrade_cost,max_fraction_customers_unserved_per_hour,total_hours_critical_infrastructure_unserved,critical_load_served_fraction,critical_energy_not_served_kwh,energy_not_served_kwh,feasibility_after_repair,wall_clock_runtime_seconds,median_runtime_seconds,time_to_good_solution,repeat_count,samples_per_payload_median,payload_count,scenario_count,scenario_probability_mass,aggregation,pareto_frontier,cost_objective,resilience_objective
pglib_case14_adapted,Piecewise-linear MILP baseline,95.35812571819055,26.698629959604617,103.87638134970713,123.71277896217097,0.0,0.4963719772348401,0.23076923076923078,0.9841505167727838,8.898007013586184,28.657087271527786,1.0,44.54801108827812,0.03922782299923705,0.03463493753224605,50,50.0,12,6,0.8125,median_per_payload_then_probability_weighted_scenario_mean,True,risk_adjusted_cost_min,critical_energy_not_served_kwh_min
pglib_case30_adapted,Piecewise-linear MILP baseline,53.60809385265466,5.442361048284731,23.388992389517377,71.95151661853514,0.0,0.4057130158440541,0.15384615384615385,0.9858378562641407,6.136844419313867,17.189282960505707,1.0,47.56439152511298,0.046673094038851524,0.02405897947028275,50,50.0,18,6,0.8125,median_per_payload_then_probability_weighted_scenario_mean,True,risk_adjusted_cost_min,critical_energy_not_served_kwh_min
pglib_case30_adapted,Stress-only reserve heuristic baseline,93.16405101285132,17.995425186689197,81.9600536077999,122.26781111909895,0.0,0.5205876892562057,0.15384615384615385,0.9858378562641407,6.136844419313866,123.38880917828826,1.0,0.10070733062454486,0.0001057395129464,4.339596489444375e-05,50,50.0,18,6,0.8125,median_per_payload_then_probability_weighted_scenario_mean,True,risk_adjusted_cost_min,critical_energy_not_served_kwh_min
pglib_case5_pjm_adapted,Piecewise-linear MILP baseline,563.3858449925149,383.2663132038759,582.1347282927577,742.5619886205936,0.0,0.0039040558362543,0.0,1.0,0.0,3.1432334064920013,1.0,12.322645654669014,0.028794041805667775,0.0267492290586233,50,50.0,8,4,0.6875,median_per_payload_then_probability_weighted_scenario_mean,True,risk_adjusted_cost_min,critical_energy_not_served_kwh_min
