score_mode,dataset,method_name,challenge_score,challenge_rank,best_method_by_challenge_score,qci_minus_best_challenge_score,qci_outcome_by_challenge_score,critical_energy_not_served_kwh,total_hours_critical_infrastructure_unserved,max_fraction_customers_unserved_per_hour,total_energy_not_served,critical_load_served_fraction,feasibility_after_repair,risk_adjusted_cost,expected_operating_cost,runtime,weighted_challenge_score,weighted_challenge_rank,lexicographic_challenge_score,lexicographic_challenge_rank,best_cost_by_method,median_cost_by_method,total_upgrade_cost,energy_not_served_kwh,wall_clock_runtime_seconds,median_runtime_seconds,time_to_good_solution,repeat_count,scenario_count,normalized_critical_energy_not_served_kwh,normalized_total_hours_critical_infrastructure_unserved,normalized_max_fraction_customers_unserved_per_hour,normalized_total_energy_not_served,normalized_risk_adjusted_cost,normalized_runtime,infeasibility_penalty
lexicographic,pglib_case30_adapted,IPOPT/Pyomo nonlinear baseline,3.0,4,GreedyCriticalLoadFirst,8.0,qci_loss,23934.81076233091,1200,0.4057193635334929,66421.53755213681,0.9693139332516476,1.0,27124.230811637815,27066.238056661176,0.0082851250190287,,,3.0,4.0,25.638218074296045,99.8765595598648,0.0,66421.53755213681,683.6886970028281,0.30690320854773745,0.0082851250190287,50,6,,,,,,,
lexicographic,pglib_case30_adapted,SLSQPDispatchOptimizer,4.0,5,GreedyCriticalLoadFirst,8.0,qci_loss,23934.81076233091,1200,0.4057193635334929,66421.53755213681,0.9693139332516476,1.0,27124.230811637815,27066.238056661176,0.0091361250961199,,,4.0,5.0,25.638218074296045,99.8765595598648,0.0,66421.53755213681,725.1282192764338,0.3286876045167446,0.0091361250961199,50,6,,,,,,,
lexicographic,pglib_case30_adapted,QUBO/quadratized local search baseline,5.0,6,GreedyCriticalLoadFirst,8.0,qci_loss,25615.99134012408,600,0.4684808934014144,75185.65303292408,0.9671585330878565,1.0,27423.941699710467,27365.63105718478,0.4395716249709949,,,5.0,6.0,27.182162498668063,100.68993578773822,0.0,75185.65303292408,10557.637527173385,6.890219166467432,0.4395716249709949,50,6,,,,,,,
lexicographic,pglib_case30_adapted,CMPO-local polynomial search,6.0,7,GreedyCriticalLoadFirst,8.0,qci_loss,28775.599666341048,600,0.5086618298430926,76757.83003516734,0.9631076973843695,1.0,27338.459268208957,27279.691532215445,0.110088458051905,,,6.0,7.0,27.182162498668063,100.476142376597,0.0,76757.83003516734,2715.605329195503,1.7655137499677949,0.110088458051905,50,6,,,,,,,
lexicographic,pglib_case30_adapted,GPU-parallel random restart baseline,7.0,8,GreedyCriticalLoadFirst,8.0,qci_loss,30377.59703894014,600,0.5320991255402582,81170.62741672045,0.9610538263080179,1.0,27218.337496359665,27159.569760366154,0.0010976250050589,,,7.0,8.0,27.182162498668063,100.476142376597,0.0,81170.62741672045,39.081244732486,0.0040975419688038,0.0010976250050589,50,6,,,,,,,
lexicographic,pglib_case30_adapted,CMPO + QCi Dirac-3,8.0,9,GreedyCriticalLoadFirst,8.0,qci_loss,112761.0542067,6882,0.5500107130408087,255497.02112320001,0.22517905165338736,1.0,28423.20858598117,28342.76140838589,20.0,,,8.0,9.0,0.3495277499999999,96.18420668383847,0.0,255497.02112320001,156620.0,22.0,20.0,1,6,,,,,,,
lexicographic,pglib_case30_adapted,DifferentialEvolutionOptimizer,9.0,10,GreedyCriticalLoadFirst,8.0,qci_loss,135630.3071264824,10800,0.5329830360499397,372011.7574337879,0.6401064142239637,1.0,30451.79682193448,30394.85239365562,0.0146479589166119,,,9.0,10.0,18.022762053872203,112.50886389583583,0.0,372011.7574337879,327.17404293478467,0.19974981242557985,0.0146479589166119,50,6,,,,,,,
lexicographic,pglib_case57_adapted,Piecewise-linear MILP baseline,0.0,1,Piecewise-linear MILP baseline,,inconclusive_no_qci,0.0,0,0.0,0.0,1.0,1.0,3344.140884213072,3213.448078083251,0.0213422080269083,,,0.0,1.0,315.41492645241465,405.1183524858485,0.0,0.0,1.1255503322463465,0.02338552050059655,0.0213422080269083,3,4,,,,,,,
lexicographic,pglib_case57_adapted,GreedyCriticalLoadFirst,1.0,2,Piecewise-linear MILP baseline,,inconclusive_no_qci,0.0,0,0.0,0.0,1.0,1.0,12427.663352144273,11685.097037546519,0.0,,,1.0,2.0,547.2110100307586,1355.969456753528,0.0,0.0,0.0,0.0,0.0,3,4,,,,,,,
lexicographic,pglib_case57_adapted,GPU-parallel random restart baseline,2.0,3,Piecewise-linear MILP baseline,,inconclusive_no_qci,0.0,0,0.0,0.0,1.0,1.0,12427.663352144273,11685.097037546519,0.0019046670058742,,,2.0,3.0,547.2110100307586,1355.969456753528,0.0,0.0,6.9200540818274,0.00207793747540555,0.0019046670058742,3,4,,,,,,,
lexicographic,pglib_case57_adapted,CMPO-local polynomial search,3.0,4,Piecewise-linear MILP baseline,,inconclusive_no_qci,0.0,0,0.0,0.0,1.0,1.0,12427.663352144273,11685.097037546519,0.2211774160386994,,,3.0,4.0,547.2110100307586,1355.9694567535278,0.0,0.0,11.608825246337801,0.23824297951068724,0.2211774160386994,3,4,,,,,,,
lexicographic,pglib_case57_adapted,QUBO/quadratized local search baseline,4.0,5,Piecewise-linear MILP baseline,,inconclusive_no_qci,0.0,0,0.0,0.0,1.0,1.0,12464.333950304937,11716.650027325479,2.7025895409751683,,,4.0,5.0,549.0973210680203,1356.7396242480163,0.0,0.0,140.02777541638352,2.907088354055304,2.7025895409751683,3,4,,,,,,,
