target,mae,rmse,normalized_rmse,r2,spearman_rank_correlation,top_decile_recall,pareto_front_recall,nearly_constant,test_range,test_standard_deviation,degree,all_coefficients_finite,gate_passed,ridge,term_count
critical_ens,7.154908559994167,10.570200366082531,0.0989024595656845,0.8797716335900038,0.7338203586930439,0.9848156182212582,1.0,False,106.875,30.48454706029681,3,True,False,1.0,85
total_ens,7.154908559994186,10.570200366082558,0.09890245956568475,0.8797716335900032,0.7338203586930439,0.9848156182212582,1.0,False,106.875,30.48454706029681,3,True,False,1.0,85
maximum_customers_unserved,0.0007893735937348816,0.0012917102227145644,0.015817784832539757,0.9976875268131419,0.7366460494216607,0.9956616052060737,1.0,False,0.08166189111747849,0.026861282462480967,3,True,False,0.1,83
critical_infrastructure_outage_hours,0.07598173222521094,0.10165608701827895,0.13554144935770526,0.8513833412863248,0.7345640097278865,0.9956616052060737,1.0,False,0.75,0.26369363207560065,3,True,False,1.0,79
heldout_total_ens,0.2735713884811305,0.3799236672000503,0.005360475017589203,0.9993568314307404,0.98975936305977,0.8852459016393442,0.3333333333333333,False,70.87500006126612,14.980763301809935,3,True,False,0.01,80
