target,upgrade_cost_band,count,mean_actual,mean_predicted,mean_bias,mae
critical_ens,0,150,81.02777777777777,80.53954406379253,-0.48823371398525484,2.6499575752896303
critical_ens,1,150,69.23333333333333,69.08379443035552,-0.1495389029778165,1.4932418456852925
critical_ens,2,150,52.65,53.04981476009884,0.399814760098838,0.5367131558207788
critical_ens,3,150,50.75833333333333,50.93761212784977,0.17927879451643008,0.17927879451645112
total_ens,0,150,261.0277777777778,260.5395440637925,-0.4882337139852524,2.6499575752896303
total_ens,1,150,249.23333333333332,249.08379443035554,-0.14953890297781205,1.4932418456852943
total_ens,2,150,232.65,233.04981476009883,0.3998147600988447,0.5367131558207776
total_ens,3,150,230.75833333333333,230.93761212784977,0.17927879451644116,0.1792787945164457
maximum_customers_unserved,0,150,0.203406558420885,0.20339393833128194,-1.2620089603097573e-05,0.0003753603677484953
maximum_customers_unserved,1,150,0.19560649474689584,0.19572323085965596,0.00011673611276011556,0.00011673611276011556
maximum_customers_unserved,2,150,0.17946513849092638,0.17952547021595075,6.033172502435069e-05,6.033172502435069e-05
maximum_customers_unserved,3,150,0.17652340019102192,0.17656123058152562,3.7830390503713616e-05,3.7830390503713616e-05
critical_infrastructure_outage_hours,0,150,1.4325,1.419039393939394,-0.013460606060606096,0.06604438502673804
critical_infrastructure_outage_hours,1,150,1.3083333333333333,1.3067617647058822,-0.0015715686274509618,0.03949795008912664
critical_infrastructure_outage_hours,2,150,1.15,1.1612986631016042,0.011298663101604354,0.014721122994652482
critical_infrastructure_outage_hours,3,150,1.1283333333333334,1.135500267379679,0.00716693404634596,0.00716693404634596
heldout_total_ens,0,150,326.4874999845361,326.50958738613855,0.0220874016024095,0.378328003004486
heldout_total_ens,1,150,323.22250008558945,323.25965893947733,0.03715885388780748,0.33033347148711567
heldout_total_ens,2,150,316.28000018981913,316.296111721984,0.016111532164887876,0.2171609999001593
heldout_total_ens,3,150,310.72833354722763,310.8008610720109,0.07252752478325761,0.16846307953276096
