target,upgrade_cost_band,count,mean_actual,mean_predicted,mean_bias,mae
critical_ens,0,150,81.02777777777777,79.16040146655341,-1.8673763112243675,11.661275298582904
critical_ens,1,150,69.23333333333333,69.23257921109345,-0.0007541222398802461,8.706067250074708
critical_ens,2,150,52.65,51.25836317376008,-1.391636826239917,5.163854516985972
critical_ens,3,150,50.75833333333333,48.87007992197309,-1.8882534113602492,3.0884371743330856
total_ens,0,150,261.0277777777778,259.1604014665533,-1.867376311224427,11.661275298582929
total_ens,1,150,249.23333333333332,249.23257921109334,-0.0007541222399722377,8.706067250074703
total_ens,2,150,232.65,231.25836317376002,-1.391636826240015,5.163854516985995
total_ens,3,150,230.75833333333333,228.87007992197303,-1.8882534113603144,3.0884371743331176
maximum_customers_unserved,0,150,0.203406558420885,0.2042440454361999,0.0008374870153148914,0.001269542023566929
maximum_customers_unserved,1,150,0.19560649474689584,0.19604162067463957,0.00043512592774371824,0.0006817629962155067
maximum_customers_unserved,2,150,0.17946513849092638,0.1791238681145141,-0.00034127037641230466,0.0005467390799245876
maximum_customers_unserved,3,150,0.17652340019102192,0.17590363881224666,-0.0006197613787752441,0.0006594502752325028
critical_infrastructure_outage_hours,0,150,1.4325,1.4320286074029804,-0.00047139259701968564,0.12409168594398551
critical_infrastructure_outage_hours,1,150,1.3083333333333333,1.3149147441101499,0.00658141077681626,0.08769483938406268
critical_infrastructure_outage_hours,2,150,1.15,1.134604975496096,-0.015395024503903783,0.05537985792199751
critical_infrastructure_outage_hours,3,150,1.1283333333333334,1.1091699389662741,-0.019163394367059463,0.036760545650798074
heldout_total_ens,0,150,326.4874999845361,326.50958738613855,0.0220874016024095,0.378328003004486
heldout_total_ens,1,150,323.22250008558945,323.25965893947733,0.03715885388780748,0.33033347148711567
heldout_total_ens,2,150,316.28000018981913,316.296111721984,0.016111532164887876,0.2171609999001593
heldout_total_ens,3,150,310.72833354722763,310.8008610720109,0.07252752478325761,0.16846307953276096
