dataset,payload_name,scenario,patch,sample_count,repeat_count,job_count,expected_operating_cost_best,expected_operating_cost_median,risk_adjusted_cost_best,risk_adjusted_cost_median,critical_load_served_fraction_best,critical_load_served_fraction_median,critical_energy_not_served_best,total_energy_not_served_best,max_fraction_customers_unserved_per_hour_best,total_critical_infrastructure_unserved_hours_proxy_best,feasibility_after_repair_rate,pre_repair_violation_rate,post_repair_violation_rate,pre_repair_violation_median,post_repair_violation_median,qci_energy_best,qci_energy_median,decoded_objective_best,runtime_seconds_total,runtime_seconds_median,time_to_good_solution
pglib_case14_ieee,pglib_case14_ieee__normal_BUS1_MG-BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,normal,BUS1_MG-BUS2_MG,30,1,1,213.2279182688904,231.79975113030514,213.2279182688904,231.79975113030514,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6283.721260249999,2.842170943040401e-14,-345333.15625,-304483.5,6698.794664544019,13020.0,434.0,434.0
pglib_case14_ieee,pglib_case14_ieee__normal_BUS1_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,normal,BUS1_MG,30,1,1,74.14130182143062,81.5871918108034,78.74471682143061,86.1074690983034,1.0,0.018060008167849306,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9493.694052750001,5.684341886080802e-14,-31505292.0,-1145870.0,-65464849.83564248,930.0,31.0,31.0
pglib_case14_ieee,pglib_case14_ieee__normal_BUS2_MG__from__normal_BUS14_MG-BUS1_MG-BUS2_MG.json,normal,BUS2_MG,30,1,1,127.0090145053409,149.3375902941507,140.2470995053409,162.10189157465067,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10374.510217149998,2.842170943040401e-14,-26306704.0,-5902530.0,-65041506.820902534,930.0,31.0,31.0
pglib_case14_ieee,pglib_case14_ieee__normal_BUS3_MG-BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,normal,BUS3_MG-BUS4_MG,30,1,1,233.75335212,253.03956400942042,233.75335212,253.03956400942042,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7259.31552385,1.4210854715202004e-14,-556034.8125,-518473.75,10103.332897640466,13020.0,434.0,434.0
pglib_case14_ieee,pglib_case14_ieee__normal_BUS3_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,normal,BUS3_MG,30,1,1,29.866019665340893,29.866019665340893,76.5358902568409,92.1793196653409,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11762.5479314,1.4210854715202004e-14,-39180792.0,-11866772.0,-75117182.79403983,960.0,32.0,32.0
pglib_case14_ieee,pglib_case14_ieee__normal_BUS4_MG-BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,normal,BUS4_MG-BUS9_MG,30,1,1,257.04300444,289.82921269267047,257.04300444,289.82921269267047,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6767.968713349999,1.4210854715202004e-14,-428043.75,-373027.296875,10641.589498781228,12990.0,433.0,433.0
pglib_case14_ieee,pglib_case14_ieee__normal_BUS4_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,normal,BUS4_MG,30,1,1,135.523305,156.0169043210909,169.60231499999998,190.09591432109087,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10950.042019199998,2.842170943040401e-14,-22519872.0,-8347572.0,-59912971.92687158,930.0,31.0,31.0
pglib_case14_ieee,pglib_case14_ieee__normal_BUS9_MG__from__normal_BUS3_MG-BUS4_MG-BUS9_MG.json,normal,BUS9_MG,30,1,1,121.6949822713409,131.89138466534092,144.2447822713409,154.44118466534087,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10779.901339799999,2.842170943040401e-14,-52011652.0,-11031100.0,-72108730.2870388,930.0,31.0,31.0
pglib_case14_ieee,pglib_case14_ieee__pcc_failure_BUS14_MG-BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,pcc_failure,BUS14_MG-BUS1_MG,30,1,1,95.38039572803397,99.24203548403396,95.38039572803397,99.24203548403396,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8849.47569,1.0658141036401503e-14,-195220.625,-179057.0078125,6484.94670134268,12990.0,433.0,433.0
pglib_case14_ieee,pglib_case14_ieee__pcc_failure_BUS14_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,pcc_failure,BUS14_MG,30,1,1,74.7442826653409,74.7442826653409,83.94211386734091,87.50825591534091,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11832.5253519,1.4210854715202004e-14,-27110144.0,-6522710.0,-61191233.458755195,930.0,31.0,31.0
pglib_case14_ieee,pglib_case14_ieee__pcc_failure_BUS1_MG-BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,pcc_failure,BUS1_MG-BUS2_MG,30,1,1,160.1098801086931,172.43452642502098,160.1098801086931,172.43452642502098,1.0,1.0,0.0,6.200000000000001e-06,4.641798232635324e-09,0.0,1.0,1.0,0.0,7754.82506675,1.687538997430238e-14,-213631.640625,-181950.0546875,3906.5751498943496,12960.0,432.0,432.0
pglib_case14_ieee,pglib_case14_ieee__pcc_failure_BUS1_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,pcc_failure,BUS1_MG,30,1,1,3.3445153166006594,3.3445153166006705,7.939084818693075,8.178101066600666,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12767.628997549999,2.3092638912203256e-14,-38571056.0,-6953440.0,-81649032.74256612,930.0,31.0,31.0
pglib_case14_ieee,pglib_case14_ieee__pcc_failure_BUS2_MG__from__pcc_failure_BUS14_MG-BUS1_MG-BUS2_MG.json,pcc_failure,BUS2_MG,30,1,1,132.2317075933409,150.94810850534088,146.1316968433409,164.84809775534092,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10379.429625550001,2.842170943040401e-14,-34746176.0,-7522416.0,-72315695.47466007,900.0,30.0,30.0
pglib_case14_ieee,pglib_case14_ieee__pcc_failure_BUS3_MG-BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,pcc_failure,BUS3_MG-BUS4_MG,30,1,1,237.30964323600003,262.0885112852419,237.30964323600003,262.0885112852419,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7253.104796,1.0658141036401503e-14,-418285.3125,-389949.296875,8633.743723872034,12930.0,431.0,431.0
pglib_case14_ieee,pglib_case14_ieee__pcc_failure_BUS3_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,pcc_failure,BUS3_MG,30,1,1,30.890075665340902,30.890075665340902,89.76212786234089,96.3190406653409,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11829.56746125,2.842170943040401e-14,-26827136.0,-9376900.0,-63149500.541489795,900.0,30.0,30.0
pglib_case14_ieee,pglib_case14_ieee__pcc_failure_BUS4_MG-BUS9_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,pcc_failure,BUS4_MG-BUS9_MG,30,1,1,274.3069546635,304.86826232001135,274.3069546635,304.86826232001135,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6688.981810100002,1.4210854715202004e-14,-250616.515625,-226187.5390625,5827.89022018249,12930.0,431.0,431.0
pglib_case14_ieee,pglib_case14_ieee__pcc_failure_BUS4_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,pcc_failure,BUS4_MG,30,1,1,124.32407575334089,158.72763694717045,160.10703625334088,192.40027414767047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10418.981178450002,2.842170943040401e-14,-39568768.0,-9910728.0,-77566294.44712685,930.0,31.0,31.0
pglib_case14_ieee,pglib_case14_ieee__pcc_failure_BUS9_MG__from__pcc_failure_BUS3_MG-BUS4_MG-BUS9_MG.json,pcc_failure,BUS9_MG,30,1,1,125.2685906653409,162.98622321134093,148.9458806653409,162.98622321134093,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8419.57951175,2.842170943040401e-14,-22666624.0,-179085.6875,-54685472.44256668,900.0,30.0,30.0
pglib_case14_ieee,pglib_case14_ieee__renewable_shortfall_BUS14_MG-BUS1_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG.json,renewable_shortfall,BUS14_MG-BUS1_MG,30,1,1,163.70667509268955,176.00456167651862,163.70667509268955,176.00456167651862,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7189.467250600002,2.842170943040401e-14,-328661.59375,-298104.5,7310.799717398958,12960.0,432.0,432.0
pglib_case14_ieee,pglib_case14_ieee__renewable_shortfall_BUS14_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG.json,renewable_shortfall,BUS14_MG,30,1,1,75.3232490653409,75.3232490653409,87.72253736534091,87.72253736534091,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11570.924573450002,1.4210854715202004e-14,-33513080.0,-1231730.0,-73168531.43416764,930.0,31.0,31.0
pglib_case14_ieee,pglib_case14_ieee__renewable_shortfall_BUS1_MG-BUS2_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG.json,renewable_shortfall,BUS1_MG-BUS2_MG,30,1,1,213.8414522015815,235.62715937766015,213.8414522015815,235.62715937766015,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6230.953991599999,2.842170943040401e-14,-345841.96875,-304609.890625,6112.212358382867,12930.0,431.0,431.0
pglib_case14_ieee,pglib_case14_ieee__renewable_shortfall_BUS1_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG.json,renewable_shortfall,BUS1_MG,30,1,1,75.78989059234836,82.14942824741024,80.48537389234836,86.84491154741025,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9615.349641499999,7.105427357601002e-14,-23655580.0,-3113480.0,-62186425.25187396,900.0,30.0,30.0
pglib_case14_ieee,pglib_case14_ieee__renewable_shortfall_BUS2_MG__from__renewable_shortfall_BUS14_MG-BUS1_MG-BUS2_MG.json,renewable_shortfall,BUS2_MG,30,1,1,132.3291197053409,150.89773539134092,145.8319664053409,164.4005820913409,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10331.5861938,2.842170943040401e-14,-41258440.0,-6739016.0,-78262789.19120188,930.0,31.0,31.0
pglib_case14_ieee,pglib_case14_ieee__renewable_shortfall_BUS3_MG-BUS4_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG.json,renewable_shortfall,BUS3_MG-BUS4_MG,30,1,1,241.8097993333409,260.42337696667045,241.8097993333409,260.42337696667045,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7289.4660809,1.4210854715202004e-14,-592685.8125,-556612.59375,8834.110446432771,12930.0,431.0,431.0
pglib_case14_ieee,pglib_case14_ieee__renewable_shortfall_BUS3_MG__from__renewable_shortfall_BUS3_MG-BUS4_MG-BUS9_MG.json,renewable_shortfall,BUS3_MG,30,1,1,35.805544465340894,35.88625450334091,91.06011984834089,99.3651104653409,1.0,0.001763657023712284,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11308.982243500002,2.1316282072803006e-14,-28345016.0,-7076196.0,-62208219.69285544,930.0,31.0,31.0
